 ,Area,X,Y
1,1.341,38.322,1.595
2,1.267,143.610,1.849
3,1.331,129.370,2.046
4,1.245,138.593,2.094
5,1.022,106.304,3.406
6,1.320,97.904,9.288
7,1.150,56.687,8.996
8,0.947,54.815,11.284
9,1.235,18.720,11.766
10,1.160,132.218,14.412
11,1.405,108.529,15.930
12,1.203,43.282,16.373
13,0.937,143.473,18.994
14,1.363,159.976,19.234
15,1.192,95.303,19.524
16,1.299,167.296,21.069
17,0.841,165.361,20.685
18,1.288,81.070,22.205
19,1.150,161.593,22.172
20,2.193,114.520,23.381
21,1.277,16.556,23.699
22,1.256,115.886,26.096
23,1.182,65.940,26.514
24,0.990,129.412,27.246
25,1.065,35.457,29.333
26,1.480,87.744,29.532
27,1.405,136.967,30.211
28,1.043,175.233,30.845
29,1.331,45.437,31.906
30,1.203,52.831,32.543
31,1.299,32.355,34.613
32,0.969,28.147,36.550
33,1.086,17.438,37.058
34,1.331,131.262,39.279
35,0.979,124.487,39.183
36,1.107,67.350,42.091
37,1.426,177.320,43.137
38,1.128,12.278,43.822
39,1.288,57.138,44.202
40,1.831,86.007,45.006
41,1.160,150.686,47.182
42,1.214,83.258,48.669
43,1.256,76.835,50.277
44,1.299,139.790,52.825
45,1.160,114.039,54.718
46,1.341,56.241,56.263
47,1.043,158.958,56.426
48,1.022,129.435,56.521
49,1.224,60.231,56.796
50,1.288,53.343,58.960
51,1.128,130.399,59.432
52,1.054,160.886,61.428
53,1.171,45.402,62.700
54,1.171,174.456,62.995
55,1.235,118.722,65.456
56,0.947,36.214,65.317
57,0.926,165.898,66.281
58,1.150,110.479,67.420
59,1.192,69.277,68.756
60,1.544,31.520,69.328
61,0.947,58.249,69.519
62,1.022,66.207,71.118
63,1.022,157.337,71.532
64,1.224,28.459,72.494
65,1.277,148.141,72.840
66,1.214,64.148,73.854
67,0.969,131.563,73.736
68,1.682,9.232,75.162
69,1.043,118.617,75.241
70,1.299,49.803,76.406
71,1.107,79.666,77.763
72,1.011,113.736,77.344
73,1.033,25.039,78.169
74,2.235,34.326,78.530
