Slice,Count,Total Area,Average Size,%Area
1,112,133.002,1.188,0.629
2,112,131.320,1.172,0.621
3,112,131.831,1.177,0.623
4,111,129.010,1.162,0.610
5,112,136.131,1.215,0.644
6,112,135.471,1.210,0.641
7,112,136.184,1.216,0.644
8,112,138.303,1.235,0.654
9,112,139.218,1.243,0.658
10,112,140.464,1.254,0.664
11,111,141.805,1.278,0.670
12,112,144.988,1.295,0.686
13,113,145.339,1.286,0.687
14,111,144.275,1.300,0.682
15,113,151.322,1.339,0.715
16,112,151.056,1.349,0.714
17,112,150.705,1.346,0.713
18,111,151.812,1.368,0.718
19,111,154.643,1.393,0.731
20,113,154.398,1.366,0.730
21,113,158.561,1.403,0.750
22,112,155.878,1.392,0.737
23,115,163.160,1.419,0.771
24,116,161.020,1.388,0.761
25,117,164.565,1.407,0.778
26,117,166.151,1.420,0.786
27,116,167.897,1.447,0.794
28,123,168.982,1.374,0.799
29,125,170.356,1.363,0.805
30,127,171.399,1.350,0.810
31,127,174.848,1.377,0.827
32,127,177.435,1.397,0.839
33,133,177.914,1.338,0.841
34,133,180.745,1.359,0.855
35,139,181.416,1.305,0.858
36,148,184.077,1.244,0.870
37,156,189.155,1.213,0.894
38,155,189.304,1.221,0.895
39,159,189.741,1.193,0.897
40,173,195.085,1.128,0.922
41,167,196.170,1.175,0.928
42,167,197.895,1.185,0.936
43,177,199.385,1.126,0.943
44,177,201.493,1.138,0.953
45,183,204.069,1.115,0.965
46,188,206.858,1.100,0.978
47,186,209.562,1.127,0.991
48,190,208.860,1.099,0.988
49,196,210.744,1.075,0.996
50,192,214.225,1.116,1.013
51,195,216.992,1.113,1.026
52,193,217.386,1.126,1.028
53,194,221.112,1.140,1.045
54,193,222.475,1.153,1.052
55,197,227.361,1.154,1.075
56,194,224.561,1.158,1.062
57,190,228.021,1.200,1.078
58,192,230.991,1.203,1.092
59,192,230.533,1.201,1.090
60,191,232.492,1.217,1.099
61,191,235.175,1.231,1.112
62,190,240.125,1.264,1.135
63,188,243.680,1.296,1.152
64,187,247.566,1.324,1.171
65,185,250.078,1.352,1.182
66,184,250.557,1.362,1.185
67,187,249.397,1.334,1.179
68,188,250.089,1.330,1.182
69,184,254.634,1.384,1.204
70,183,257.604,1.408,1.218
71,186,261.894,1.408,1.238
72,187,265.098,1.418,1.253
73,187,269.612,1.442,1.275
74,191,271.241,1.420,1.282
75,190,276.659,1.456,1.308
76,190,275.169,1.448,1.301
77,191,276.585,1.448,1.308
78,191,284.771,1.491,1.346
79,185,279.171,1.509,1.320
80,190,284.238,1.496,1.344
81,187,285.196,1.525,1.348
82,190,291.413,1.534,1.378
83,188,294.053,1.564,1.390
84,189,296.629,1.569,1.403
85,190,297.247,1.564,1.405
86,191,302.176,1.582,1.429
87,197,307.562,1.561,1.454
88,203,315.780,1.556,1.493
89,203,317.430,1.564,1.501
90,203,322.423,1.588,1.524
91,205,324.052,1.581,1.532
92,211,323.924,1.535,1.532
93,209,324.445,1.552,1.534
94,206,327.362,1.589,1.548
95,206,330.790,1.606,1.564
96,212,336.688,1.588,1.592
97,212,343.011,1.618,1.622
98,219,348.546,1.592,1.648
99,226,353.251,1.563,1.670
100,228,357.510,1.568,1.690
101,225,360.267,1.601,1.703
102,222,365.696,1.647,1.729
103,222,370.986,1.671,1.754
104,224,376.916,1.683,1.782
105,237,374.787,1.581,1.772
106,226,383.271,1.696,1.812
107,233,379.045,1.627,1.792
108,230,377.107,1.640,1.783
109,233,382.994,1.644,1.811
110,229,379.034,1.655,1.792
111,232,380.929,1.642,1.801
112,225,382.920,1.702,1.811
113,226,383.676,1.698,1.814
114,221,384.804,1.741,1.819
115,235,379.662,1.616,1.795
116,229,379.694,1.658,1.795
117,227,380.599,1.677,1.800
118,222,381.153,1.717,1.802
119,220,386.699,1.758,1.828
120,220,387.561,1.762,1.832
